date_heure_debut,date_heure_fin,prix_eur_mwh,volume_mw
2026-05-29T00:00:00+02:00,2026-05-29T00:15:00+02:00,140.4,18063.7
2026-05-29T00:15:00+02:00,2026-05-29T00:30:00+02:00,136.43,17915.3
2026-05-29T00:30:00+02:00,2026-05-29T00:45:00+02:00,127.25,18497.0
2026-05-29T00:45:00+02:00,2026-05-29T01:00:00+02:00,126.36,18917.6
2026-05-29T01:00:00+02:00,2026-05-29T01:15:00+02:00,126.36,18783.2
2026-05-29T01:15:00+02:00,2026-05-29T01:30:00+02:00,126.36,18864.8
2026-05-29T01:30:00+02:00,2026-05-29T01:45:00+02:00,126.36,18655.0
2026-05-29T01:45:00+02:00,2026-05-29T02:00:00+02:00,123.86,18861.9
2026-05-29T02:00:00+02:00,2026-05-29T02:15:00+02:00,125.01,18122.0
2026-05-29T02:15:00+02:00,2026-05-29T02:30:00+02:00,120.0,18194.1
2026-05-29T02:30:00+02:00,2026-05-29T02:45:00+02:00,119.57,18267.3
2026-05-29T02:45:00+02:00,2026-05-29T03:00:00+02:00,118.11,18538.6
2026-05-29T03:00:00+02:00,2026-05-29T03:15:00+02:00,117.27,18525.6
2026-05-29T03:15:00+02:00,2026-05-29T03:30:00+02:00,115.88,18698.6
2026-05-29T03:30:00+02:00,2026-05-29T03:45:00+02:00,115.0,18723.7
2026-05-29T03:45:00+02:00,2026-05-29T04:00:00+02:00,111.21,18803.8
2026-05-29T04:00:00+02:00,2026-05-29T04:15:00+02:00,110.76,18785.7
2026-05-29T04:15:00+02:00,2026-05-29T04:30:00+02:00,110.76,18807.0
2026-05-29T04:30:00+02:00,2026-05-29T04:45:00+02:00,110.76,18823.5
2026-05-29T04:45:00+02:00,2026-05-29T05:00:00+02:00,112.49,18808.8
2026-05-29T05:00:00+02:00,2026-05-29T05:15:00+02:00,114.25,19070.8
2026-05-29T05:15:00+02:00,2026-05-29T05:30:00+02:00,118.02,19018.2
2026-05-29T05:30:00+02:00,2026-05-29T05:45:00+02:00,119.11,19126.1
2026-05-29T05:45:00+02:00,2026-05-29T06:00:00+02:00,120.0,18996.6
2026-05-29T06:00:00+02:00,2026-05-29T06:15:00+02:00,126.36,19314.0
2026-05-29T06:15:00+02:00,2026-05-29T06:30:00+02:00,126.36,19134.4
2026-05-29T06:30:00+02:00,2026-05-29T06:45:00+02:00,126.36,19561.6
2026-05-29T06:45:00+02:00,2026-05-29T07:00:00+02:00,126.36,19595.4
2026-05-29T07:00:00+02:00,2026-05-29T07:15:00+02:00,136.96,19775.9
2026-05-29T07:15:00+02:00,2026-05-29T07:30:00+02:00,130.1,19640.3
2026-05-29T07:30:00+02:00,2026-05-29T07:45:00+02:00,124.97,19415.9
2026-05-29T07:45:00+02:00,2026-05-29T08:00:00+02:00,111.95,19991.1
2026-05-29T08:00:00+02:00,2026-05-29T08:15:00+02:00,126.36,18390.9
2026-05-29T08:15:00+02:00,2026-05-29T08:30:00+02:00,116.39,18862.4
2026-05-29T08:30:00+02:00,2026-05-29T08:45:00+02:00,107.0,18822.7
2026-05-29T08:45:00+02:00,2026-05-29T09:00:00+02:00,84.57,19212.1
2026-05-29T09:00:00+02:00,2026-05-29T09:15:00+02:00,94.47,19181.2
2026-05-29T09:15:00+02:00,2026-05-29T09:30:00+02:00,72.75,19843.0
2026-05-29T09:30:00+02:00,2026-05-29T09:45:00+02:00,45.0,20121.4
2026-05-29T09:45:00+02:00,2026-05-29T10:00:00+02:00,34.58,20135.1
2026-05-29T10:00:00+02:00,2026-05-29T10:15:00+02:00,30.0,20881.1
2026-05-29T10:15:00+02:00,2026-05-29T10:30:00+02:00,17.77,20841.8
2026-05-29T10:30:00+02:00,2026-05-29T10:45:00+02:00,10.89,21038.2
2026-05-29T10:45:00+02:00,2026-05-29T11:00:00+02:00,5.0,21427.1
2026-05-29T11:00:00+02:00,2026-05-29T11:15:00+02:00,5.56,22007.9
2026-05-29T11:15:00+02:00,2026-05-29T11:30:00+02:00,1.75,22482.7
2026-05-29T11:30:00+02:00,2026-05-29T11:45:00+02:00,0.84,22888.3
2026-05-29T11:45:00+02:00,2026-05-29T12:00:00+02:00,0.84,23110.5
2026-05-29T12:00:00+02:00,2026-05-29T12:15:00+02:00,0.84,23390.2
2026-05-29T12:15:00+02:00,2026-05-29T12:30:00+02:00,0.54,23529.6
2026-05-29T12:30:00+02:00,2026-05-29T12:45:00+02:00,0.51,23472.5
2026-05-29T12:45:00+02:00,2026-05-29T13:00:00+02:00,0.29,23922.6
2026-05-29T13:00:00+02:00,2026-05-29T13:15:00+02:00,0.51,24127.1
2026-05-29T13:15:00+02:00,2026-05-29T13:30:00+02:00,0.18,24365.6
2026-05-29T13:30:00+02:00,2026-05-29T13:45:00+02:00,0.08,24510.3
2026-05-29T13:45:00+02:00,2026-05-29T14:00:00+02:00,0.02,24412.0
2026-05-29T14:00:00+02:00,2026-05-29T14:15:00+02:00,0.84,23877.4
